topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
59,36449,451266,lower,True,"But, if I had more money and more time I would give them much more.",had,have,give,would
59,114217,457701,lower,True,"At the end, if I had enough money, I would like to visit the Formula 1 Race at Spa or at Monza.",had,have,like,would
59,51674,46953,lower,True,"If I had enough money, I would run a trade company.",had,have,run,would
59,51674,46953,lower,True,"If I had enough money and time, I would travel around the world.",had,have,travel,would
59,51674,46953,lower,True,"If I had a chance to live in another city, I would live in Provence, France.",had,have,live,would
59,51674,46953,lower,True,"If I had one month holiday, I would fly to Russia to meet my old friend whom I haven't seen for five years.",had,have,fly,would
59,8206,472793,lower,True,"If I had a lot of money, I would like to have a jeep, to take my family to the beach.",had,have,like,would
59,38232,47482,lower,True,"Well, if I won the lottery, I would travel around the world.",won,win,travel,would
59,86044,487219,lower,True,"If there was one year left for me to live, I would invite all my friends to have a dinner, and announce my bucket bill to them by then: First of all, I would work hard to fulfill all my responsibilities as soon as possible.",was,be,invite,would
59,169955,48727,lower,True,If I had enough money earned I would buy a sailing ship then I will sail around the empire world.,had,have,buy,would
59,164344,49719,lower,True,"If I won a lottery, I'd live on the beach.",won,win,live,'d
59,72551,5018,lower,True,"First, if I won a lot of money, I'd buy a big house with a pool and garden in France.",won,win,buy,'d
59,7663,51542,lower,True,"If I won the lottery after retirement, I would travel all around the world and find the most beautiful lady in the world.",won,win,travel,would
59,12248,516213,lower,True,"If I got this job soon, I would like to start making my dreams happen.",got,get,like,would
59,4253,523076,lower,True,"If I had time, I would learn to play an instrument: the harp and to speak other languages like Spanish, Italian and German.",had,have,learn,would
59,18256,525880,lower,True,"From my perspective, there is nothing wrong with dreaming; if I had my own business running already, with more earnings than I have today, I would take a tour of the whole ofEurope in order to go deep into the culture of each country and visit beautiful places.",had,have,is,
59,50594,529166,lower,True,"I'd like to visit Los Angeles, New York or Miami on my next holiday if I had enough money.",had,have,like,'d
59,4392,533730,lower,True,"Second, if I had money, I would like totravel around the world on a boat.",had,have,like,would
59,4392,533730,lower,True,"Third, If I won the lottery, I would like tobuy an island for living in.",won,win,like,would
59,104853,537005,lower,True,"If I had my own business, then I would do what I think is useful.",had,have,do,would
59,104853,537005,lower,True,"If I had enough money , then I would travel around the world.",had,have,travel,would
59,104853,537005,lower,True,"If I had a chance to choose where I want to travel, I would choose the North Pole.",had,have,choose,would
59,115746,540584,lower,True,"If I won a lottery, I would buy a new and bigger house for myself.",won,win,buy,would
59,75387,541486,lower,True,"If I had another 40 years to live, I would learn English hard and achieved to speak English smoothly.",had,have,learn,would
59,170832,547566,lower,True,"If I had a chance, I would make a lot of dreams come true, one of them is to travel around Europe.",had,have,make,would
59,20777,548338,lower,True,"I'd like to spend one year travelling all over the world, if I had money.",had,have,like,'d
59,20777,548338,lower,True,"I'd like to learn three foreign languages, if I had time.",had,have,like,'d
59,20777,548338,lower,True,"I'd buy a nice house at the beach, if I won the lottery.",won,win,buy,'d
59,20777,548338,lower,True,"I'd like to change the world, if I had the power.",had,have,like,'d
59,147619,549864,lower,True,"If I won the lottery, I'd travel around the world first.",won,win,travel,'d
59,107255,550406,lower,True,"I have a lot of dreams, one of them is to travel to the U.S.A. for six months and do an interchange in a great English school, if I saved some money until the end of the year, I'd try to go to that place but I won't do the interchange.",saved,save,have,
59,171334,551410,lower,True,"2. If I had the opportunity, I'd like to meet the new Pope.",had,have,like,'d
59,106933,556725,lower,True,"If I had money, i would go to Fujiyama in Japan to learn to ski.",had,have,go,would
59,102309,557615,lower,True,"If I won the lottery, I would immigrate to Australia and buy a big house there.",won,win,immigrate,would
59,79727,559373,lower,True,"If I got one million dollars, I would contribute to the Red Cross Organize and help the dirty poor people or children in the orphanage.",got,get,contribute,would
59,142069,559739,lower,True,"If I had enough money, I would travel the world with my wife and children.",had,have,travel,would
59,147025,564535,lower,True,"I love to travel, so, if I had free time I would go to Miami and the Caribbean.",had,have,love,
59,56296,568174,lower,True,"If I had the chance, I would do the following things: Learn to speak English.",had,have,do,would
59,103057,576560,lower,True,"If I had free time, I would like to travel around world and take a hot air balloon across the sea.",had,have,like,would
59,22997,59258,lower,True,"If I had a little time to live, I'd like to do these things: - to travel as lot as possible, and I'm not saying about travelling by my own country, absolutely not, I'd like to travel to as many different countries as I could!",had,have,like,'d
59,30540,59365,lower,True,"I try to live how I want, but if I only had a few days left of living , I would do some things, which I don't allow myself now.",had,have,try,
59,14817,602432,lower,True,"If it became true, I'd be calm for the future of my children.",became,become,became,
59,50870,603244,lower,True,"If I had one week to live, I would travel to a sunny country for a few days to chill out.",had,have,travel,would
59,10672,612772,lower,True,"I have a lot of dreams till now, If I had enough money and time, I would buy a beautiful house and plant some trees and flowers in my garden.",had,have,have,
59,137776,613502,lower,True,"If I won a lottery, I'd travel around the world.",won,win,travel,'d
59,137776,613502,lower,True,"If I earned enough money, I'd like living in a small town and doing whatever I wanted to do.%%",earned,earn,like,'d
59,77140,616086,lower,True,"If there were Fountain Trivoli, I would have the following dreams.",were,be,have,would
59,173013,623498,lower,True,"If I won a lottery, I would buy a big house, a big car and I would discover all the world.",won,win,buy,would
59,17517,635370,lower,True,"If I won the lottery, I would like to buy a mansion on the beach.",won,win,like,would
59,17517,635370,lower,True,"If I had money, I would by a Ferrari.",had,have,had,
59,103087,63865,lower,True,"Therefore, if one day I won a lot of money, I would like to travel around the world and to know as many different countries and cultures as I can.",won,win,like,would
59,124243,64470,lower,True,If I had a lot of money I would travel around the world.,had,have,travel,would
59,56502,658439,lower,True,"Nowadays I have bigger dreams: - Ive always wanted to travel around the world and visit most of the countries, If I won the lottery, I would do that.",won,win,have,
59,143424,66267,lower,True,"If I had more time and money, I also would like to travel more and visit foreign countries such as Canada, Germany and Spain.",had,have,like,would
59,2980,67062,lower,True,"If I earned enough money, I would build a big house on the beach and I'd admire countrysides.",earned,earn,build,would
59,2980,67062,lower,True,"If I achieved my dreams, I would be happy.",achieved,achieve,achieved,
59,167259,673771,lower,True,"If I had a chance, I would like to live in a foreign country.",had,have,like,would
59,120431,681476,lower,True,"If I got a big fortune, I would buy a big house and live in it with my families, I would travel all over the world with my families, I would pursue advance education in foreign countries.",got,get,buy,would
59,42066,681995,lower,True,"If I had money, first thing I would buy would be a big farm in a beautiful place far from urban life, a place withno noise, no pollution and with fresh air.",had,have,had,
59,168434,682020,lower,True,"If I won the lottery of 500 million, I think most of my dreams could come true.",won,win,think,
59,64700,690397,lower,True,I'd be happy if my dream came true.,came,come,be,
59,144950,693779,lower,True,"If I had the chance, I could administer this new branch.",had,have,administer,could
59,106486,705959,lower,True,"If I won the lottery, I would become an athlete, and challenge a lot of world champions.",won,win,become,would
59,43262,711307,lower,True,"If I had just one day to live, before this day came I would fly to Beijing city and climb the Great Wall, then I would go to America and visit every beautiful city, and I would travel around the world, also I would go to Switzerland to learn skiing, i would go to the Caribbean to swim in the sea.",had,have,fly,would
59,140415,71232,lower,True,"In the future, I'd like to travel with my family to know as many places as possible, but this would happen only if I had much money and time to travel.",had,have,like,'d
59,45355,727901,lower,True,"If my application is accepted, I would go to the US and study as hard as I can.",accepted,accept,go,would
59,93211,73298,lower,True,If I won the lottery: - I would buy a new house; - I would travel around the world; - I would buy a Porshe Carrera; - I would buy a Yamaha V Max; - I would help homeless children in Africa; - I would only eat in the best restaurants.,won,win,buy,would
59,145801,744280,lower,True,"If I had my own coffee shop, I could play the music in my coffee shop and make some cookies for my customer, arrange every decoration and plants I like to make the coffee shop warm and comfortable.",had,have,play,could
59,171926,75016,lower,True,"Finally, when I'm about 50 years old, I would be content if I owned my own hospital and library.",owned,own,be,
59,28217,758648,lower,True,"If I get seriously hurt, I might have to change my dreams.",hurt,hurt,have,might
