topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
46,8241,1100919,lower,False,"If either team gets six points, the game is over.",gets,get,gets,
46,136363,1100969,lower,False,"If you eat fruit earn one life, but if aliens touch you, you lose the game.",eat,eat,earn,
46,81008,1102738,lower,False,"If you make stronger hands than other players, you will win.",make,make,win,will
46,81008,1102738,lower,False,"If other players think your hands are weak, they will call it high bet poker.",think,think,call,will
46,63967,1103373,lower,False,"On the rack, the players make groups and runs; if they haven''t the correct tiles, they have to take an additional tile.",have,have,make,
46,85954,1104590,lower,False,"When you are at your enemy's side, if someone touches you, you have to stop like a statue.",touches,touch,have,
46,131233,1105491,lower,False,"It is not allowed to strike the contrary, if this happened freekick is marked.",happened,happen,allowed,is
46,105264,1107117,lower,False,"If all players are ready, the host turns all cards front side up.",ready,ready,turns,
46,105264,1107117,lower,False,"If a player guesses the right card, he scores a point.",guesses,guess,scores,
46,105264,1107117,lower,False,"Also, for example, if you are not the first player, but your card is chosen by another one or more players, you score a point too.",player,player,score,
46,95337,1107206,lower,False,"If you start play this, you will be addicted.",start,start,start,
46,151938,1107335,lower,False,"If you take 2500, you will qualify to the semi final.",take,take,qualify,will
